,first degree neighbors,feature_importance
0,ARL8A,-0.0
1,STK4,-0.0
2,RAB5C,0.0
3,MMD,-0.0
4,PSMD10,0.007589086688174355
5,RBPMS,-0.0
6,HSD17B10,0.0
7,JAGN1,0.0
8,PAFAH1B1,-0.0
9,MAPK3,0.0
10,FAF1,0.0
11,CSNK2A1,0.0
12,UTP25,-0.0
13,CNIH4,-0.0
14,ARF3,0.0
15,RAP1A,0.0
16,SLC25A24,-0.0
17,ADAM10,-0.0
18,RNF115,0.0
19,PGRMC2,-0.0
20,RPL9,0.0
21,DNAJC8,-0.0
22,MRPL58,-0.0
23,TOP2B,0.0
24,STIP1,-0.0
25,HIP1R,-0.0
26,GCLC,-0.0
27,RPS19,0.0
28,LYPLA1,0.0
29,AGFG1,0.0
30,VCP,0.0
31,EIF4G2,-0.0
32,SH3KBP1,-0.0
33,LATS2,0.0
34,NOC2L,-0.0
35,ARPC1A,-0.0
36,POLR3D,-0.0
37,UBE2V1,0.0
38,YPEL5,0.0
39,P4HB,0.0
40,SSSCA1,0.0
41,CLIC1,0.0
42,DNM1L,-0.00613347755634108
43,TCP11L2,-0.0
44,NDUFA9,-0.0
45,TIGAR,-0.0
46,PDE4DIP,-0.0016398785540202045
47,SMU1,-0.0
48,EXOC6,0.0
49,SBF2,-0.0
50,ADPGK,-0.0
51,ATL3,-0.0
52,STT3A,-0.0
53,WDR12,0.0
54,METTL6,-0.0
55,PHB2,-0.0
56,TALDO1,0.0
57,CDT1,-0.0
58,BCAS3,0.0
59,CFL2,-0.0
60,GCLM,-0.0
61,PPP1R12A,-0.0
62,SUPT5H,-0.0
63,RGL3,0.0
64,UBXN2B,0.0
65,PPIL1,-0.0
66,SRPK1,-0.0
67,APBB1IP,0.0
68,LETM1,-0.0
69,PPP2R2B,0.0
70,ADSL,0.0
71,SNU13,-0.0
72,RPL27A,-0.0
73,COPZ1,0.0
74,RPL14,-0.0
75,PSMD13,-0.0
76,PIP4K2A,-0.0
77,TCP1,-0.0
78,B3GAT3,0.0
79,CYTH1,0.0
80,TXNL1,0.0
81,EIF2S2,-0.0
82,RMND5B,-0.0
83,NADK2,-0.0
84,GIT2,0.0
85,NDRG1,0.0
86,TIMM44,0.0
87,PGS1,0.0
88,TRAF6,-0.0
89,CSNK1E,0.0
90,DDX21,-0.0
91,ALDH9A1,-0.0
92,TTC1,0.0
93,MPHOSPH10,-0.0
94,IARS,0.0
95,PCBP2,0.0
96,BRIX1,0.0
97,NLN,0.0
98,GLOD4,-0.0
99,DEGS1,0.0
100,PDXDC1,-0.0
101,ARHGAP11A,-0.0
102,TFAM,-0.0
103,TMEM50A,0.0
104,S100A6,0.0
105,CHMP6,-0.0
106,FSCN1,-0.0
107,HMGCS1,0.0
108,FLOT1,-0.0
109,COPS3,0.0
110,RHOA,-0.0
111,PYCR2,0.0
112,ANKFY1,0.0
113,DEAF1,-0.0
114,NDUFA5,0.0
115,MCCC1,0.0
116,GMFB,0.0
117,SDHC,-0.0
118,EWSR1,0.0
119,WDR46,-0.0
120,RAB18,0.0
121,YRDC,-0.0
122,PGM3,-0.0
123,PDIA4,-0.0
124,RPL18A,0.0
125,UFD1,-0.0
126,ZNF207,-0.0
127,ELOC,-0.0
128,RPUSD2,0.0
129,SFPQ,0.0
130,CCT2,-0.0
131,MED17,-0.0
132,TSR1,-0.0
133,DUS2,0.0
134,PRDX6,-0.0
135,HIKESHI,0.0
136,IPO5,0.0
137,ROCK2,0.0
138,ATOX1,0.0
139,RER1,0.0
140,RBX1,-0.0
141,SPTAN1,-0.0
142,TMEM50B,0.0
143,RPL35,-0.0
144,DDX47,-0.0
145,KRAS,-0.0
146,NAXE,-0.0
147,MCTS1,0.0
148,EXOSC2,0.0
149,RPS21,0.0
150,AIFM1,0.0
151,AGAP1,-0.0
152,EIF4G1,0.0
153,GLTP,-0.0
154,RPL4,0.0
155,RNMT,-0.0
156,PSMA7,-0.0
157,EIF5A,-0.0
158,DOHH,0.0
159,CYB5B,0.0
160,RPS3A,0.0
161,RPL24,-0.0
162,ETF1,-0.0
163,SNRPC,-0.0
164,EIF3F,0.0
165,UBE3A,-0.0
166,PSEN1,0.0
167,BZW2,-0.0
168,RPL7,-0.0
169,ABCE1,-0.0
170,DBNL,-0.0
171,OTUD6B,0.0
172,PAFAH1B3,0.0
173,PDHB,0.0
174,RPL39,0.0
175,ARF5,-0.0
176,OGA,-0.0
177,MRPS35,0.0
178,ABCF1,-0.0
179,MTMR4,-0.0
180,AP1S1,0.0
181,NUP155,-0.0
182,TRMT112,-0.0
183,TMBIM1,0.0
184,PTPN1,0.0
185,DHX9,0.0
186,CANX,0.0
187,NME2,-0.0
188,RAP1B,-0.0
189,GAR1,0.0003282651844323366
190,USP30,0.0
191,TIMM21,0.0
192,CTPS1,0.0
193,RAB2A,-0.0
194,EHD4,0.0
195,ATP1B1,0.0
196,CDK8,0.0
197,TVP23B,-0.0
198,MRPL17,-0.0
199,UBE2R2,0.0
200,NHP2,-0.0
201,AKT2,0.0
202,GPSM2,0.0
203,ALDH3A2,0.0
204,PRKACA,0.0
205,GNA12,-0.0
206,ARIH1,0.0
207,ACBD3,-0.0
208,CD81,0.0
209,DAD1,-0.0
210,DKC1,-0.0
211,CAB39,0.0
212,RNH1,-0.0
213,EIF3I,0.0
214,SF3A3,0.0
215,RRP1,0.0
216,AP3D1,-0.0
217,PTK2,-0.0
218,NMT2,0.0
219,YWHAB,-0.0
220,SNRPD2,0.0
221,HEATR1,0.0
222,ZFAND2A,-0.0
223,ALDOA,0.0
224,PDS5B,-0.0
225,KPNA4,0.0
226,EIF4A1,0.0
227,UBE2L3,-0.0
228,RASAL2,0.0
229,PPIE,0.0
230,MRPS2,0.0
231,YTHDF2,0.0
232,PPIH,-0.0
233,ARHGEF12,-0.0
234,SDAD1,-0.0
235,CTNNA1,0.0
236,TOMM22,-0.0
237,EIF3J,-0.0
238,PGAM1,-0.0
239,EPS15,0.0
240,PSMA6,0.0
241,CORO1C,0.0
242,RTCB,-0.0
243,CALM2,-0.0
244,TMEM199,-0.0
245,AHCYL1,0.0
246,PTRH2,-0.0
247,LARS,-0.0
248,PSIP1,-0.0
249,CBX3,0.0
250,DOP1B,-0.0
251,SUB1,0.0
252,RAB6B,0.0
